,,Table B,,,,,,,,,,
71ea376b-d470-421e-b3ca-de3f2bc62a01,National Geographic Magazine,National Geographic Partners LLC,Print Magazine,Earth Sciences Magazines,"6,493 ratings","6,493 ",32,24,6,,,
4eb5c33f-45ce-4144-b7dc-6e32d065b840,Ranger Rick,National Wildlife Federation,Print Magazine,Magazines for Ages 4-8,"1,107 ratings","1,107 ",28,22,6,,,
099574ea-9663-4a46-8b26-ef280aafcfab,The Pioneer Woman Magazine,Hearst Magazines,Print Magazine,Women's Lifestyle Magazines,"1,767 ratings","1,767 ",16,27,6,,,
55f04b1c-5436-40c4-9313-8f7d2613345e,Shape,Meredith Corporation,Print Magazine,Women's Health & Fitness Magazines,"1,504 ratings","1,504 ",20,34,6,,,
fbe60079-3fbf-4658-8b7e-9f2bd8479ad5,TV Guide,TV Guide,Print Magazine,Television Magazines,"3,368 ratings","3,368 ",8,20,6,,,
6ab9a510-791a-4be0-bf93-a4c8d05a1d2f,Reader's Digest Large Print,"Trusted Media Brands, Inc.",Print Magazine,Literary Magazines & Journals,"1,225 ratings","1,225 ",26,29,6,,,
fe033f55-487b-4dbe-8e7a-ca5c77014807,Cond‹¨« Nast Traveler,Conde Nast,Print Magazine,"Travel, City & Regional Magazines","1,286 ratings","1,286 ",10,33,6,,,
a5a71391-8995-4931-b349-e2f75bdef866,Wired,Conde Nast,Print Magazine,Computers & Internet Magazines,"2,482 ratings","2,482 ",10,30,6,,,
44700d60-544c-4c44-af3e-71debeff61e1,Ranger Rick Jr.,National Wildlife Federation,Print Magazine,Magazines for Ages 4-8,974 ratings,974 ,28,22,4,,,
784fe200-04da-4248-9514-795807edb254,National Geographic Little Kids,National Geographic Partners LLC,Print Magazine,Magazines for Ages 9-12,"3,431 ratings","3,431 ",32,23,6,,,
3be9d20b-8f72-49e2-9d01-f038e263a270,Runner's World,Hearst Magazines,Print Magazine,Training Magazines,"1,377 ratings","1,377 ",16,18,6,,,
f6f1a952-4045-4151-b7aa-833fbb64f27f,Entertainment Weekly,Meredith Corporation,Print Magazine,Movie Magazines,"1,824 ratings","1,824 ",20,15,6,,,
f104defa-d1ca-4a51-81a2-f6531267c4a4,Country Woman,"Trusted Media Brands, Inc.",Print Magazine,Recipes & Techniques Magazines,"1,729 ratings","1,729 ",26,30,6,,,
d097189f-650a-4970-adae-aadc6ea87242,TIME,"Time USA, LLC",Print Magazine,Ideas & Commentary Magazines,"2,843 ratings","2,843 ",13,28,6,,,
5ecbfd4e-fd39-4864-93ef-6d7c2f2a2191,Reminisce,"Trusted Media Brands, Inc.",Print Magazine,Men's Fashion Magazines,"1,669 ratings","1,669 ",26,23,6,,,
bce033ee-ef30-416a-a24f-4fba7ede6526,Woman's Day,Hearst Magazines,Print Magazine,Women's Health & Fitness Magazines,"2,576 ratings","2,576 ",16,34,6,,,
fe60189b-0a5b-41a9-99c3-6c354c5bd51c,Sports Illustrated Kids,Maven,Print Magazine,Sports & Recreation Magazines,"1,827 ratings","1,827 ",5,29,6,,,
62816c79-b958-4e2d-aff1-e846a80bc9bc,Midwest Living,Meredith Corporation,Print Magazine,Midwestern United States Travel,"1,151 ratings","1,151 ",20,31,6,,,
8ad7aab5-00d0-4db3-8bb0-40195ee1361e,Sports Illustrated,Maven,Print Magazine,Sports & Recreation Magazines,"1,325 ratings","1,325 ",5,29,6,,,
4ba123b7-df6a-44a4-bf69-fabcffe13508,Entrepreneur Magazine,Entrepreneur Media Inc,Print Magazine,Entrepreneurship Magazines,"1,190 ratings","1,190 ",22,26,6,,,
81887f8f-ef6b-4953-a7b3-c00edac8f5dc,Harper's Bazaar,Hearst Magazines,Print Magazine,Women's Fashion Magazines,"12,425 ratings","12,425 ",16,25,7,,,
db186ac3-8652-4dbd-bf05-310206da3f0e,Architectural Digest,Conde Nast Publications,Print Magazine,Architecture Magazines,"1,305 ratings","1,305 ",23,22,6,,,
5df47ccb-ee7e-4acb-b8f5-53e8ed342069,This Old House,This Old House Ventures,Print Magazine,Farming Magazines,"1,531 ratings","1,531 ",23,17,6,,,
30cc33f4-fda6-46bf-8c91-795c1ed740da,Elle,Hearst Magazines,Print Magazine,Women's Fashion Magazines,"12,425 ratings","12,425 ",16,25,7,,,
3bfd7c09-a6b1-4d5e-abb8-586d01a82f0b,Vogue,Conde Nast Publications,Print Magazine,Women's Fashion Magazines,"1,808 ratings","1,808 ",23,25,6,,,
d810fedf-0c48-426a-8c4b-26fddd53aa43,Allure,Conde Nast,Print Magazine,Beauty Magazines,"1,078 ratings","1,078 ",10,16,6,,,
1b411f7f-d668-4a26-aa44-0c444d69dfe2,National Geographic History,National Geographic Partners LLC,Print Magazine,Astronomy Magazines,"2,356 ratings","2,356 ",32,19,6,,,
b3868c59-fe8e-4c92-a021-0a42e2043c81,Smithsonian,Smithsonian,Print Magazine,"Science, History & Nature Magazines","1,978 ratings","1,978 ",11,35,6,,,
2eb129d3-2a85-426f-b751-caf825122af1,Prevention,Hearst Magazines,Print Magazine,Diet & Weight Loss Magazines,"3,160 ratings","3,160 ",16,28,6,,,
82f23ad8-7509-4e62-927d-cac9e96ade94,Town & Country,Hearst Magazines,Print Magazine,Women's Fashion Magazines,642 ratings,642 ,16,25,4,,,
bc130540-1c95-44d6-ac33-d990facdeb8e,First For Women,Bauer Publishing,Print Magazine,Women's Health & Fitness Magazines,"1,435 ratings","1,435 ",16,34,6,,,
566fa92c-4de2-4875-8ee7-7ee0643a0605,Cook's Illustrated,America's Test Kitchen,Print Magazine,Recipes & Techniques Magazines,"1,200 ratings","1,200 ",22,30,6,,,
4695f3b6-2897-4dbc-9f3a-8cc5e00ce6db,Health,Meredith Corporation,Print Magazine,Health Magazines,"1,216 ratings","1,216 ",20,16,6,,,
451dad0b-2174-4538-82e0-7c55dfc52a12,Mother Earth News,Ogden Publications Inc,Print Magazine,Gardening & Horticulture Magazines,"1,762 ratings","1,762 ",22,34,6,,,
c0500ffb-cb8e-4bfa-8681-da9fe9403761,Parents,Meredith Corporation,Print Magazine,Parenting Magazines,"1,192 ratings","1,192 ",20,19,6,,,
3eae9454-aa57-40a8-affa-e4bec6c1ba55,Motor Trend,Motor Trend,Print Magazine,Automotive Magazines,"1,375 ratings","1,375 ",11,20,6,,,
c7563ac4-a974-4db0-9200-e58719ba5387,Scientific American,Scientific American,Print Magazine,"Science, History & Nature Magazines",807 ratings,807 ,19,35,4,,,
465929b6-31e6-49b8-af9e-011e8c8d015a,Vanity Fair,Conde Nast Publications,Print Magazine,Entertainment & Pop Culture Magazines,"1,914 ratings","1,914 ",23,37,6,,,
588b4737-f11d-4176-879b-78e04654d638,Guns & Ammo,Outdoor Sportsman Group - Integrated Media,Print Magazine,NA,"1,687 ratings","1,687 ",42,2,6,,,
986f9655-c10a-44a6-a5be-ce9d42521ca7,Forbes,Forbes,Print Magazine,Business Life Magazines,816 ratings,816 ,6,23,4,,,
bca68551-f00e-4a17-9d3c-e042fe6f5b95,Fast Company [Print + Kindle],Mansueto Ventures LLC,Print Magazine,Business Life Magazines,513 ratings,513 ,21,23,4,,,
5a3126a2-191b-4749-81da-67ae4d5f9f59,Golf Digest,Discovery Networks Intl Llc,Print Magazine,Golf Magazines,510 ratings,510 ,27,14,4,,,
f4f85333-db43-47d1-8037-cd19a80b544b,Esquire,Hearst Magazines,Print Magazine,Men's Fashion Magazines,862 ratings,862 ,16,23,4,,,
3369c4df-ab89-45a9-8184-38f3d1deb225,Farm & Ranch Living,"Trusted Media Brands, Inc.",Print Magazine,Farming Magazines,721 ratings,721 ,26,17,4,,,
c6862b41-a63d-4b72-9dbc-e46216ff4468,Ladybug,Cricket Media,Print Magazine,Educational Children's Magazines,448 ratings,448 ,13,32,4,,,
26f05e66-6114-4970-9d4c-94dd14834df7,Wood,Meredith Corporation,Print Magazine,Woodworking Magazines,801 ratings,801 ,20,21,4,,,
4a4ea9eb-28fc-49f4-b0c6-4eef3cd490af,Ask,Cricket Media,Print Magazine,Magazines for Ages 4-8,353 ratings,353 ,13,22,4,,,
1c501f95-6fa1-4785-a1ba-901572645316,Inc. [Print + Kindle],Mansueto Ventures LLC,Print Magazine,Business Management Magazines,526 ratings,526 ,21,29,4,,,
7f67e367-7b8c-4256-9374-caa72afb8086,Men's Journal,A360 Media Llc,Print Magazine,NA,123 ratings,123 ,14,2,4,,,
3efbbf82-437b-47c7-93f4-d4248b2f367b,People en Espanol,Meredith Corporation,Print Magazine,Celebrities & Gossip Magazines,600 ratings,600 ,20,30,4,,,
38771a2e-1847-45b8-b3ce-cd6504ae33b5,The Economist,Economist,Print Magazine,International Business Magazines,"1,950 ratings","1,950 ",9,32,6,,,
91628049-90fe-4c6d-8c9d-b941f6714a9b,Essence,American Publishers LLC,Print Magazine,Beauty Magazines,"1,972 ratings","1,972 ",23,16,6,,,
c0dd56f6-a057-4cc5-b2be-df3622074c54,Country,"Trusted Media Brands, Inc.",Print Magazine,Country Life Magazines,728 ratings,728 ,26,22,4,,,
c797052d-cedc-4e20-8009-821c7765f808,Dwell,"Dwell Media, LLC",Print Magazine,Architecture Magazines,472 ratings,472 ,16,22,4,,,
feb26da0-686a-4311-a7a7-47f8506599d0,High Times - Auto Renewal,Trans High Corporation,Print Magazine,Farming Magazines,508 ratings,508 ,22,17,4,,,
495a4eb6-7584-46cc-858e-3bf08eb2b69e,GQ,Conde Nast Publications,Print Magazine,Men's Fashion Magazines,"1,351 ratings","1,351 ",23,23,6,,,
b5e0a818-a8c8-4be8-8c21-260de9bf2984,Womans World,Bauer Publishing,Print Magazine,Women's Health & Fitness Magazines,"1,894 ratings","1,894 ",16,34,6,,,
2e0df678-f7d0-4f06-add4-795c287cf537,Girls World,A360 Media Llc,Print Magazine,Girls' Magazines,594 ratings,594 ,14,16,4,,,
14334f19-31aa-4069-8a77-e2b7ac32f864,Coastal Living,Meredith Corporation,Print Magazine,Home & Garden Magazines,664 ratings,664 ,20,23,4,,,
3b70ddb6-ad07-43ff-93e1-70288709859c,In-Fisherman,Outdoor Sportsman Group - Integrated Media,Print Magazine,Individual Sports Magazines,804 ratings,804 ,42,27,4,,,
91c4dee8-2799-4c67-ad15-d18ee45f070f,Psychology Today,Sussex Publishers Inc,Print Magazine,Psychology & Counseling Magazines,431 ratings,431 ,21,33,4,,,
dd517078-d7ec-4d09-8eef-52095308adfe,Food Network Magazine,Hearst Magazines,Print Magazine,Recipes & Techniques Magazines,"8,806 ratings","8,806 ",16,30,6,,,
602c3c20-5c02-482f-b9df-f4b84262d28d,Rolling Stone,Wenner Media,Print Magazine,Music Magazines,"1,425 ratings","1,425 ",12,15,6,,,
a0ad58c1-0d2f-4927-a44d-20b928716650,Consumer Reports,Consumer Reports,Print Magazine,Business & Investing Magazines,"1,419 ratings","1,419 ",16,30,6,,,
9e27be30-6b1c-4e31-8b12-82cd391b864d,Bicycling,Hearst Magazines,Print Magazine,Cycling Magazines,625 ratings,625 ,16,17,4,,,
98b6c027-c990-4f22-a65f-1455ef26a782,Marie Claire,Hearst Magazines,Print Magazine,Women's Lifestyle Magazines,959 ratings,959 ,16,27,4,,,
49271b89-d38e-47ba-98ec-dc1ef36c570a,Architectural Digest,Cond‹¨« Nast Publications,Print Magazine,Lifestyle & Communities Magazines,84 ratings,84 ,25,33,3,,,
b5fae5d1-c61f-4dca-8cbe-9921628d5a9f,Bon Appetit,Cond‹¨« Nast Publications,Print Magazine,Lifestyle & Communities Magazines,128 ratings,128 ,25,33,4,,,
cf9be129-7974-47f7-bc49-e34a44a96a49,Outside [Print + Kindle],Outside,Print Magazine,NA,435 ratings,435 ,7,2,4,,,
df77e3db-ca9f-41bc-a7c0-9f7dae462bc0,Muse,Cricket Media,Print Magazine,Children's Magazines,299 ratings,299 ,13,20,4,,,
9233fecc-ee06-46fe-afe8-fbd20a71e7dc,Kiplinger's Personal Finance,NA,Print Magazine,Finance Magazines,804 ratings,804 ,2,17,4,,,
d0a56225-0a48-4675-937a-00b6b0e299c1,Vanity Fair,Cond‹¨« Nast Publications,Print Magazine,Performing Arts Magazines,93 ratings,93 ,25,25,3,,,
f3dba4eb-4866-43b8-bf03-bd546c774e8f,Shooting Times,Outdoor Sportsman Group - Integrated Media,Print Magazine,NA,484 ratings,484 ,42,2,4,,,
d838e026-6a65-4f08-8a55-13d522a4eec0,Country Home,Meredith Corporation,Print Magazine,Home Decorating Magazines,254 ratings,254 ,20,25,4,,,
78a8d379-63c2-455f-920d-d6df8b6b58a9,Golf Magazine,Golf Magazine,Print Magazine,Golf Magazines,610 ratings,610 ,13,14,4,,,
c51e647b-372a-4aad-9a22-31169b1eb044,Time,"Time USA, LLC",Print Magazine,Lifestyle & Communities Magazines,141 ratings,141 ,13,33,4,,,
e361c75d-e5b0-416d-b3ef-d37ef11db0a3,American Patchwork & Quilting,Meredith Corporation,Print Magazine,NA,290 ratings,290 ,20,2,4,,,
affb25d1-0270-4ac8-b043-e0c3dd01d747,Discover,Kalmbach Publ Co,Print Magazine,Science & Nature Technology Magazines,568 ratings,568 ,16,37,4,,,
2cdda169-47fc-4d0e-9669-4f3dd4d643d6,Petersen's Hunting,Outdoor Sportsman Group - Integrated Media,Print Magazine,Hunting & Firearms Magazines,333 ratings,333 ,42,28,4,,,
860ee5ee-df4e-4450-bfdb-d15ee67eedeb,Us Weekly,A360 Media Llc,Print Magazine,Celebrities & Gossip Magazines,"1,461 ratings","1,461 ",14,30,6,,,
6c660a12-070c-45cc-9abc-b4cc751737fa,Hot Rod,Motor Trend,Print Magazine,Automotive Magazines,609 ratings,609 ,11,20,4,,,
3a43ff5f-f38c-48d1-89d1-8aaa61695dbb,Garden Gate,Active Interest Media,Print Magazine,Farming Magazines,302 ratings,302 ,21,17,4,,,
3cad7a11-adad-4691-b985-45c1cb56a3fc,Highlights Hello,Highlights for Children,Print Magazine,Magazines for Ages 4-8,197 ratings,197 ,23,22,4,,,
5fcdee00-00e0-4e37-83b0-1cd3f5d2ed8f,Fine Homebuilding,Taunton Press,Print Magazine,How-To & Home Improvements,201 ratings,201 ,13,26,4,,,
6e388d31-2b43-44ec-b5c2-ad9bd59409a0,Babybug,Cricket Media,Print Magazine,Children's Magazines,282 ratings,282 ,13,20,4,,,
0cda7e6d-4aa4-4eeb-8524-146ad6a4428c,Scuba Diving,Bonnier Corporation,Print Magazine,Water Sports Magazines,214 ratings,214 ,19,22,4,,,
e83cd8a3-216e-47ee-bd72-ec7d279bcdef,New York Magazine,New York Magazine,Print Magazine,Ideas & Commentary Magazines,535 ratings,535 ,17,28,4,,,
ad0d454d-e0ec-4f6b-b18d-f4c2ee20a60a,Traditional Home,Meredith Corporation,Print Magazine,Antiques & Collectibles Magazines,432 ratings,432 ,20,33,4,,,
2540ad66-505e-41da-8a62-c3d9e47c31d7,Vogue,Conde Nast Publications,Print Magazine,Women's Fashion Magazines,"1,808 ratings","1,808 ",23,25,6,,,
fa3861de-681d-44f8-809b-0e97c57ae2be,Victoria,Hoffman Media Inc,Print Magazine,Women's Fashion Magazines,539 ratings,539 ,17,25,4,,,
a43630e9-7d7d-45ec-a3cd-25b5d01cd489,Bloomberg BusinessWeek,Bloomberg LP,Print Magazine,Business Life Magazines,483 ratings,483 ,12,23,4,,,
fe42d002-0d0c-4c24-bba1-0c42f652fe98,Men's Journal,A360 Media Llc,Print Magazine,Men's Health & Fitness Magazines,879 ratings,879 ,14,32,4,,,
e597396c-b3e9-495a-b172-34738e22ab94,Girls' Life,Red Engine Llc,Print Magazine,Magazines for 12 & Up,408 ratings,408 ,14,21,4,,,
78e19de3-06fe-4906-bcbe-dd5c82a37013,Popular Woodworking,Active Interest Media,Print Magazine,Woodworking Magazines,339 ratings,339 ,21,21,4,,,
5b57fd99-67eb-4fab-b4fb-22a2be775175,Poets & Writers,"Poets & Writers, Inc.",Print Magazine,Literary Magazines & Journals,548 ratings,548 ,21,29,4,,,
bcc1160c-556b-4ee2-b815-36e1a2abaee4,Firearms News,Outdoor Sportsman Group - Integrated Media,Print Magazine,NA,337 ratings,337 ,42,2,4,,,
9ca869ee-8bc7-4e93-9eb4-afdaaf2bf733,Boating,Bonnier Corpiration,Print Magazine,Boating Magazines,392 ratings,392 ,19,17,4,,,
6b46854e-2d1e-46f6-b3cd-310d8f5ed230,Bee Culture,A I Root Co,Print Magazine,Pets & Animals Magazines,195 ratings,195 ,11,24,4,,,
5d6e5c50-1470-47ef-ba96-8ad11d96b350,Flying,Bonnier Corporation,Print Magazine,Flying Magazines,372 ratings,372 ,19,16,4,,,
89aff9ff-2d05-48df-86b8-2bd25f437abb,Fine Gardening,Taunton Press,Print Magazine,Gardening & Horticulture Magazines,184 ratings,184 ,13,34,4,,,
5965d9f2-ca08-4f27-86c7-27af72f8097b,The English Home,The Chelsea Magazine Company,Print Magazine,Farming Magazines,216 ratings,216 ,28,17,4,,,
5f9c8a4f-12e5-458c-a098-8d5df74848cd,Food Network Magazine,Hearst Magazines,Print Magazine,"Cooking, Food & Wine Magazines","8,806 ratings","8,806 ",16,30,6,,,
4bf11a8a-3390-4e1a-8d60-0b5f012b0d52,Animal Tales,A360 Media Llc,Print Magazine,Children's Animal Magazines,210 ratings,210 ,14,27,4,,,
20e37c63-9745-4044-9906-551fd1524e18,Yankee,"Yankee Publishing, Inc.",Print Magazine,Country Life Magazines,274 ratings,274 ,23,22,4,,,
ed509d03-9fd9-4e53-bb19-eb1faec35f79,Cooking Light,Meredith Corporation,Print Magazine,Recipes & Techniques Magazines,506 ratings,506 ,20,30,4,,,
06a34da0-5e33-4a53-a003-70e093273771,Motor Trend,Motor Trend,Print Magazine,Automotive Magazines,"1,375 ratings","1,375 ",11,20,6,,,
c07a6d4c-840f-4d32-ab6a-1d87b350783e,Handguns,Outdoor Sportsman Group - Integrated Media,Print Magazine,NA,430 ratings,430 ,42,2,4,,,
6637824f-10f0-4b21-af8d-4525a5102506,MILIEU,Pierce Publishing LLC,Print Magazine,Farming Magazines,66 ratings,66 ,21,17,3,,,
3722291d-0bbf-4dee-b69b-b794d60d0b52,Boys' Life,Boy Scouts of America,Print Magazine,Boys' Magazines,191 ratings,191 ,21,15,4,,,
265bc383-5575-4246-aae1-f3ce10c49dfc,Birds and Blooms,"Trusted Media Brands, Inc.",Print Magazine,Nature & Ecology Magazines,207 ratings,207 ,26,26,4,,,
bfa2d89b-e437-4a77-a431-3f2bf3d95686,Cricket,Cricket Media,Print Magazine,Children's Magazines,198 ratings,198 ,13,20,4,,,
80f2ce67-43a7-48d8-bc5c-bd9ae820e2ae,Star Magazine [Print + Kindle],A360 Media Llc,Print Magazine,Celebrities & Gossip Magazines,559 ratings,559 ,14,30,4,,,
801b82c7-729c-4a80-a8dd-b4d86721e492,Horticulture,Active Interest Media,Print Magazine,Gardening & Horticulture Magazines,172 ratings,172 ,21,34,4,,,
3ac28054-5daf-4e28-a516-32252e1e8f04,Muscular Development,Advanced Research Media,Print Magazine,Basketball Magazines,131 ratings,131 ,23,20,4,,,
b2bd411f-9aa6-4cb0-8fcd-7d25f5d601a4,Better Homes and Gardens,Meredith corporation,Print Magazine,Gardening & Horticulture Magazines,310 ratings,310 ,20,34,4,,,
9a1012e4-a711-4730-a9fc-1beea3da9b44,Fortune,FORTUNE Media (USA) Corporation,Print Magazine,Business Life Magazines,171 ratings,171 ,31,23,4,,,
27e527d6-9975-4c62-924b-686b0fa98019,OK! Magazine,A360 Media Llc,Print Magazine,Puzzles & Games Magazines,663 ratings,663 ,14,25,4,,,
cb636626-a692-41bb-9045-4983f996a998,Travel + Leisure,Meredith Corporation,Print Magazine,Europe Travel Magazines,120 ratings,120 ,20,23,4,,,
54a9e9dc-154d-4769-ac00-d6638e791a11,Archaeology,Archaeological Institute of America,Print Magazine,Archaeology Magazines,562 ratings,562 ,35,21,4,,,
f4faf659-57af-487c-9055-fecc349075ab,Biblical Archaeology Review,Biblical Archaeology Society,Print Magazine,Christianity Magazines,188 ratings,188 ,28,22,4,,,
5fbc0756-1c1c-41f7-8054-67a771c7548a,Spider,Cricket Media,Print Magazine,Magazines for Ages 4-8,155 ratings,155 ,13,22,4,,,
ead05773-a41a-40b2-97f2-2b8c824d6f66,Stereophile,Avtech Media Americas Inc,Print Magazine,Electronics Magazines,298 ratings,298 ,25,21,4,,,
4107c197-33a6-4790-8ddd-b596d4c683c1,Fine Woodworking,Taunton Press,Print Magazine,Woodworking Magazines,151 ratings,151 ,13,21,4,,,
0132b084-9083-428e-93f8-af00397e8954,Texas Monthly,Texas Monthly,Print Magazine,US Travel,511 ratings,511 ,13,9,4,,,
521bdcd2-f5b8-42a8-8a9f-f77e2bc7fdbe,Good Housekeeping,Hearst Magazines,Print Magazine,Special Diets Magazines,155 ratings,155 ,16,23,4,,,
5feb3ef6-e040-4676-ac91-d1d0c7dca87a,MAD Magazine,"E.C. Publications, Inc.",Print Magazine,Humor Magazines,517 ratings,517 ,23,15,4,,,
f6ec65d7-9340-4783-ad25-2744b26c09a4,Zoobooks,National Wildlife Federation,Print Magazine,Pets & Animals Magazines,249 ratings,249 ,28,24,4,,,
99893f5c-bee2-481a-b943-a48bc9d4048e,Writer's Digest,Active Interest Media,Print Magazine,Literary Magazines & Journals,521 ratings,521 ,21,29,4,,,
799002ac-491e-4df0-887f-49e8e16f2fc3,ARTnews,ARTnews LLC,Print Magazine,Art & Art History Magazines,53 ratings,53 ,11,27,3,,,
0056fe8b-d5bf-4b13-8316-ffbe1fb2eee9,Cottages & Bungalows,Engaged Media,Print Magazine,Luxury Homes Magazines,218 ratings,218 ,13,22,4,,,
11c94b3b-fc0a-4cb1-a5a0-146becf2ee80,Cottage Journal,Hoffman Media Inc,Print Magazine,Home Decorating Magazines,344 ratings,344 ,17,25,4,,,
d8096c78-c626-47f3-b64f-ea293b69f3fd,Hobby Farms,Eg Media Investments Llc,Print Magazine,Farming Magazines,444 ratings,444 ,24,17,4,,,
